t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
130,136,1.1083459231612305,0.14308684340801103,0.8457847026915366,0.883948702439798,1.0087764120980114,1.1021945643270712,1.2012123214215906,1.3537277770263156,1.4058573972422828
131,137,1.093473026480473,0.14000487460134073,0.836420222057714,0.8738172975658017,0.9960703768675906,1.0875036035794663,1.1843707758373367,1.3334927067994249,1.3844424954783536
132,138,1.084192006039492,0.1376925224596068,0.831243794171612,0.868076092949853,0.9884194404010873,1.0783686209280476,1.1736187693072018,1.3201736533812072,1.370227246820754
133,139,1.3035274886887116,0.1495248577189856,1.027031399867516,1.0677106667845575,1.1998030667129174,1.297814742176069,1.4010262319262587,1.5588323153821584,1.6124832184835987
134,140,1.3583731398920282,0.14563288702652172,1.0880012001207915,1.1280274924502656,1.257516557022792,1.3531722049885384,1.453561585627664,1.606460686100891,1.6582972510984044
135,141,1.3738880653641463,0.13878365251575064,1.115388741767828,1.1538526828517859,1.2779086829345552,1.369217812995532,1.4647775086387125,1.6098549279015626,1.6589246118276693
136,142,1.3110217980426866,0.12855626405702225,1.0711998115668158,1.1069708821635276,1.2221750391796982,1.3068222078102871,1.395291511418027,1.5293985957800678,1.5747067985296535
137,143,1.2426583799450592,0.1201323199311259,1.0183885310452114,1.0518776170199287,1.1596596795334269,1.2387893213321628,1.3214402473785956,1.4466374779557822,1.4889131635045043
138,144,1.3263278716047835,0.12057526105498031,1.1005516989340096,1.134423541973378,1.2431331519513449,1.3226758706499284,1.4055422242705824,1.5306900280306033,1.5728558899855989
139,145,1.1954343226833242,0.1095852846899741,0.9903182175314337,1.021071657249256,1.1198092377350939,1.1920874397806824,1.2674116051007114,1.3812139943151969,1.4195684608875503
140,146,1.0100969884522981,0.09857537247156915,0.8261592630734191,0.8536052807516122,0.9419776343497749,1.006892147397411,1.074723445780706,1.1775212276585374,1.212245361050178
141,147,1.268988181039578,0.11172817941128012,1.0594657266365501,1.0909717233136074,1.191948780479401,1.2657106523836896,1.3424553137951587,1.4581850235146576,1.4971347303476228
142,148,1.149847901284699,0.10243659270258114,0.957854009206387,0.9867000345466774,1.079198249433519,1.1468074104209796,1.2171836537851735,1.3233675736700052,1.3591189138481226
143,149,1.1003650899720894,0.09841964564981055,0.9159342095152685,0.9436359992179113,1.0324803126077304,1.0974321782100571,1.1650532256805877,1.2670990128920177,1.3014617757986948
144,150,1.0048349704217283,0.09329658482229537,0.8303145787621586,0.856455840109905,0.9404333245238615,1.0019489933298613,1.0660911760486445,1.1630588597041414,1.1957543391400953
145,151,0.8971199661903111,0.08882811302786535,0.7314941195013632,0.7561790713428941,0.8357164566653312,0.8941899109730623,0.9553300841594647,1.048056042374949,1.079395004093619
146,152,0.9533584626535498,0.09393720058382425,0.7781620766283502,0.8042836894971533,0.8884303404549087,0.9502749415576583,1.0149259272022166,1.1129519240306762,1.1460760865986706
147,153,0.9279266531643655,0.09373474698518006,0.7533357106872524,0.7793143307927326,0.8631019928765803,0.924772355693492,0.9893135587150639,1.0872991279183446,1.1204408872255827
148,154,0.5839229852251334,0.07538413324148871,0.44559475352673855,0.4657011446772334,0.5314656026314284,0.5806821921310529,0.6328488876587613,0.713200408126011,0.7406644722047958
149,155,0.7784169593351608,0.0943969218856175,0.6044712273791331,0.6299226943687136,0.712840253383169,0.7746045330918534,0.8398390845491686,0.9399167334235313,0.9740243454226393
150,156,0.9198089401271288,0.10621038783708445,0.7234880804277133,0.7523532792076006,0.8461191127777088,0.9157241461908308,0.9890472293997461,1.1011991517914297,1.139339414891372
151,157,1.0847668409065954,0.11563653378004932,0.8700147268520723,0.9018229914272893,1.00469487310296,1.0806606540708588,1.160363747446187,1.2817180762082905,1.3228507100619382
152,158,1.012339590176324,0.10916338543234533,0.809741000808413,0.8397186374254701,0.9367290913705316,1.0084185085406334,1.0836767884620506,1.1983364999287407,1.2372180737004859
153,159,0.9898695374751899,0.10736642597261718,0.7906726287541495,0.8201315393969418,0.915493179254688,0.9859904140821347,1.060018336145415,1.1728403700936607,1.2111078918542941
154,160,1.0983081153090144,0.11328183250681703,0.8875447555778887,0.9188511273914605,1.0199275447596867,1.094415870518878,1.1724467127714615,1.291042621191378,1.331187795045649
155,161,1.1509148117356005,0.11395754730154664,0.9384334855534984,0.9701017994603266,1.0721402762574148,1.1471558451805977,1.2255925465853492,1.344550637771047,1.3847553780351611
156,162,0.987214730256614,0.10292425051398549,0.7958344068533869,0.824235646247263,0.9159827758983385,0.9836401783821233,1.0545509713781467,1.162387608899569,1.1989061348836427
157,163,0.9999760681265573,0.10425471195825328,0.8061218462960117,0.8348902173793998,0.9278233262143258,0.9963553094210642,1.0681827384439961,1.1774133379110752,1.2144039245667657
158,164,0.9530060513261538,0.10217297334030404,0.7633187797335633,0.79140038535569035,0.8822471920939255,0.9493571846855978,1.0197882646505447,1.1270590606594328,1.16342650541509
159,165,1.186209833231044,0.11521488408064812,0.9711714179684895,1.0032701377931936,1.1066003055866664,1.1824817061958883,1.2617561357597913,1.3818671164001775,1.4224323517737065
160,166,1.2399299002805586,0.11414479941714814,1.026322751914074,1.0583392395244646,1.1611512584893573,1.2364290378989833,1.3148929221491312,1.4334628319292864,1.4734300231224347
161,167,1.1569853391478524,0.10606067214805116,0.9584664226496579,0.9882307335839636,1.0837925983199719,1.1537461026823064,1.2266476024177366,1.3367897435481755,1.3739106080515822
162,168,1.0906122503027225,0.10082713820809315,0.9019660454225747,0.9302322911813229,1.0210187000522013,1.0875066715510717,1.156821009463702,1.2615860781967851,1.2969052904948042
163,169,1.1185121846726602,0.10126533509698656,0.9288567668745509,0.9573182024248629,1.0486469730432728,1.1154576293148877,1.1850481882888169,1.2901259638162212,1.3255245848232726
164,170,0.9983220853981009,0.09433257022524148,0.8220153168480567,0.8483890239144196,0.9331807685150119,0.9953524659055264,1.060226823399718,1.1583852462846211,1.1915030457922624
